"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 17 18:45:12 MSK 2024","Sun Nov 17 18:45:29 MSK 2024","17131","","test.DebitCardTest","","test.DebitCardTest","shouldSuccessfulPayDebitCardWithDeclinedStatus","shouldSuccessfulPayDebitCardWithDeclinedStatus()",""
"passed","Sun Nov 17 18:43:15 MSK 2024","Sun Nov 17 18:43:17 MSK 2024","1442","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithEmptyNumberCardField","shouldPayCreditCardWithEmptyNumberCardField()",""
"passed","Sun Nov 17 18:46:27 MSK 2024","Sun Nov 17 18:46:29 MSK 2024","2726","","test.postgres.CreditApiTest","","test.postgres.CreditApiTest","testCreditWithFirstCardNumberCard","testCreditWithFirstCardNumberCard()",""
"passed","Sun Nov 17 18:43:17 MSK 2024","Sun Nov 17 18:43:18 MSK 2024","1534","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithSpecialSymbolCvcField","shouldPayCreditCardWithSpecialSymbolCvcField()",""
"passed","Sun Nov 17 18:46:26 MSK 2024","Sun Nov 17 18:46:26 MSK 2024","226","","test.mysql.CreditApiTest","","test.mysql.CreditApiTest","testCreditWithSecondCardNumberCard","testCreditWithSecondCardNumberCard()",""
"passed","Sun Nov 17 18:42:48 MSK 2024","Sun Nov 17 18:42:51 MSK 2024","2916","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithEmptyMonthField","shouldPayCreditCardWithEmptyMonthField()",""
"failed","Sun Nov 17 18:45:52 MSK 2024","Sun Nov 17 18:45:58 MSK 2024","5845","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithTwoZero","shouldPayDebitCardWithTwoZero()",""
"failed","Sun Nov 17 18:43:29 MSK 2024","Sun Nov 17 18:43:35 MSK 2024","5984","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithTwoZeroYearField","shouldPayCreditCardWithTwoZeroYearField()",""
"passed","Sun Nov 17 18:46:30 MSK 2024","Sun Nov 17 18:46:30 MSK 2024","219","","test.postgres.DebitApiTest","","test.postgres.DebitApiTest","testDebitWithFirstCardNumberCard","testDebitWithFirstCardNumberCard()",""
"failed","Sun Nov 17 18:43:37 MSK 2024","Sun Nov 17 18:43:54 MSK 2024","16908","","test.CreditCardTest","","test.CreditCardTest","shouldSuccessfulPayCreditCardWithApprovedStatus","shouldSuccessfulPayCreditCardWithApprovedStatus()",""
"skipped","Wed Oct 23 16:58:26 MSK 2024","Wed Oct 23 16:58:26 MSK 2024","0","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithSymbolsInOwnerField","shouldPayDebitCardWithSymbolsInOwnerField()",""
"passed","Sun Nov 17 18:44:30 MSK 2024","Sun Nov 17 18:44:32 MSK 2024","1344","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithTwoZeroCvcField","shouldPayCreditCardWithTwoZeroCvcField()",""
"passed","Sun Nov 17 18:43:20 MSK 2024","Sun Nov 17 18:43:22 MSK 2024","1402","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithSpecialSymbolNumberCardField","shouldPayCreditCardWithSpecialSymbolNumberCardField()",""
"failed","Sun Nov 17 18:43:54 MSK 2024","Sun Nov 17 18:44:00 MSK 2024","5901","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithCyrillicSymbolOwnerField","shouldPayCreditCardWithCyrillicSymbolOwnerField()",""
"failed","Sun Nov 17 18:46:15 MSK 2024","Sun Nov 17 18:46:20 MSK 2024","5747","","test.DebitCardTest","","test.DebitCardTest","shouldDebitCardWithOneDigitYear","shouldDebitCardWithOneDigitYear()",""
"failed","Sun Nov 17 18:43:04 MSK 2024","Sun Nov 17 18:43:10 MSK 2024","6208","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithTwoZeroMonthField","shouldPayCreditCardWithTwoZeroMonthField()",""
"passed","Sun Nov 17 18:45:29 MSK 2024","Sun Nov 17 18:45:31 MSK 2024","1347","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithEmptyCvc","shouldPayDebitCardWithEmptyCvc()",""
"passed","Sun Nov 17 18:45:31 MSK 2024","Sun Nov 17 18:45:31 MSK 2024","593","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithEmptyFields","shouldPayDebitCardWithEmptyFields()",""
"failed","Sun Nov 17 18:42:57 MSK 2024","Sun Nov 17 18:43:04 MSK 2024","6401","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithFiveAheadYearField","shouldPayCreditCardWithFiveAheadYearField()",""
"passed","Sun Nov 17 18:46:12 MSK 2024","Sun Nov 17 18:46:13 MSK 2024","1644","","test.DebitCardTest","","test.DebitCardTest","shouldDebitCardWithEmptyYearField","shouldDebitCardWithEmptyYearField()",""
"broken","Sun Nov 17 18:43:20 MSK 2024","Sun Nov 17 18:43:20 MSK 2024","387","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithEmptyOwnerField","shouldPayCreditCardWithEmptyOwnerField()",""
"passed","Sun Nov 17 18:42:29 MSK 2024","Sun Nov 17 18:42:48 MSK 2024","18626","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithEmptyFields","shouldPayCreditCardWithEmptyFields()",""
"passed","Sun Nov 17 18:44:39 MSK 2024","Sun Nov 17 18:44:40 MSK 2024","1378","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithShortNumberCardField","shouldPayDebitCardWithShortNumberCardField()",""
"passed","Sun Nov 17 18:43:14 MSK 2024","Sun Nov 17 18:43:15 MSK 2024","1715","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithForward2MonthField","shouldPayCreditCardWithForward2MonthField()",""
"passed","Sun Nov 17 18:43:12 MSK 2024","Sun Nov 17 18:43:14 MSK 2024","1813","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithMore30LettersOwnerField","shouldPayCreditCardWithMore30LettersOwnerField()",""
"passed","Sun Nov 17 18:45:38 MSK 2024","Sun Nov 17 18:45:39 MSK 2024","1353","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithOneDigitMonth","shouldPayDebitCardWithOneDigitMonth()",""
"failed","Sun Nov 17 18:42:51 MSK 2024","Sun Nov 17 18:42:57 MSK 2024","6188","","test.CreditCardTest","","test.CreditCardTest","shouldPayCreditCardWithLastYearField","shouldPayCreditCardWithLastYearField()",""
"failed","Sun Nov 17 18:44:40 MSK 2024","Sun Nov 17 18:44:46 MSK 2024","5893","","test.DebitCardTest","","test.DebitCardTest","shouldDebitCardWithLastYear","shouldDebitCardWithLastYear()",""
"failed","Sun Nov 17 18:44:32 MSK 2024","Sun Nov 17 18:44:37 MSK 2024","5754","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithNameOwnerCyrillic","shouldPayDebitCardWithNameOwnerCyrillic()",""
"passed","Sun Nov 17 18:46:30 MSK 2024","Sun Nov 17 18:46:30 MSK 2024","189","","test.postgres.DebitApiTest","","test.postgres.DebitApiTest","testDebitWithSecondCardNumberCard","testDebitWithSecondCardNumberCard()",""
"passed","Sun Nov 17 18:46:13 MSK 2024","Sun Nov 17 18:46:15 MSK 2024","1396","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithShiftMonth","shouldPayDebitCardWithShiftMonth()",""
"failed","Sun Nov 17 18:45:47 MSK 2024","Sun Nov 17 18:45:52 MSK 2024","5680","","test.DebitCardTest","","test.DebitCardTest","shouldPayDebitCardWithSpecialSymbolOwner","shouldPayDebitCardWithSpecialSymbolOwner()",""
